city,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Zhenjiang,6405100,7811600,8716700,10215200,12066865,14081351,16720765,19876400,23114500,26304200,29272800,32524400,35024800,38338400,18786919,40500000,41270000
Taizhou,5800400,7052000,8222600,10022800,12018200,13943800,16609200,20487200,24226100,27016700,30069100,33708900,36879000,41017800,19948100,51076300,51330000
Suqian,2781900,3355900,3759300,4542000,5420000,6550600,8268532,10640900,13208278,15220300,17062756,19306800,21261900,23511200,9464340,27507200,30990000
Hangzhou,20997744,25150000,29426519,34415068,41001722,47811649,50875530,59491687,70190579,78020058,83435193,92061633,100502079,113137223,116214609,135091508,153730000
Ningbo,17868542,21580377,24493099,28744435,34350042,39640472,43293025,51630017,60592409,65822064,71288672,76102816,80036103,86864911,62826874,107454632,119850000
Wenzhou,12264424,14025726,15963530,18375038,21589093,24242923,25273448,29250426,34185315,36691842,40038617,43030460,46180766,51015586,21810810,60061616,66060000
Jiaxing,8580276,10505564,11596615,13466481,15853145,18152979,19180282,23002027,26770874,28905730,31476636,33526045,35178068,38621104,11254564,48719836,53700000
Huzhou,4907516,5906926,6442499,7610154,8920238,10348945,11018263,13017294,15200553,16643045,18031501,19559985,20842666,22843743,10857320,27190675,31220000
Shaoxing,10892802,13138654,14474700,16776266,19720520,22229451,23757754,27952029,33319960,36540321,39672887,42658839,44659653,47890304,29516779,54168952,57810000
Jinhua,8016023,9783771,10635397,12346957,14656700,16818457,17760647,21100441,24580703,27107675,29587771,32082030,34023399,36849362,7413927,41002319,45600000
Quzhou,2337312,2837600,3291100,3874000,4785000,5800500,6265500,7554826,9196209,9722460,10565716,11150977,11461322,12515883,6022312,14705816,15740000
Zhoushan,1722656,2120391,2801592,3351979,4083700,4902500,5352361,6443170,7727535,8531767,9308493,10152567,10928459,12411989,9165154,13166986,13720000
Taizhou2,9950324,11737943,12517703,14633068,17218413,19652660,20404529,24264533,27544144,29112616,31533369,33873783,35538533,38986594,16240361,48746696,51340000
Lishui,2202878,2645690,3059863,3553709,4338900,5056756,5465482,6632932,7982174,8941046,9830769,10517517,11032922,12102414,3261953,13946650,14770000
Hefei,7332362,8843200,11554400,14181600,17386002,21441700,26314828,33313432,36366000,41643400,46729100,51805600,56602700,62743777,48124819,78229061,94090000
Wuhu,2848538,3450746,4006500,4797190,5823014,7496460,9019997,11085924,16582420,18736339,20995271,23095488,24573234,26994385,19018514,32785317,36180000
Bengbu,2081442,2636600,3113300,3590200,4096988,4863852,5320870,6368877,7802393,8902164,10078541,11511949,12530550,13858228,8445969,17146560,20570000
Huainan,1705041,2144900,2636000,3049800,3442294,4536200,5087730,6035491,7095384,7817510,8193895,7893187,9010822,9638395,6293324,11333064,12960000
Maanshan,1925237,2650950,3713461,4289000,5321000,6363000,6658905,8110148,11441815,12320000,12928032,13331200,13653044,14937617,10425427,19181000,21110000
Huaibei,1324689,1691300,2089900,2247200,2671818,3490900,3718734,4616043,5549156,6205393,7036634,7596370,7603904,7990337,6229180,9851902,10780000
Tongling,1030449,1367200,1820500,2436300,2869000,3253100,3437300,4667000,5794100,6213008,6806000,7163100,9116000,9573000,8813428,12223596,9600000
Anqing,3204307,3920200,4296400,4942100,5876612,7047175,7706600,9881100,12157400,13597027,14182282,15443170,14174300,15311776,5138061,19175850,23810000
Huangshan,1084187,1319800,1599782,1874889,2132317,2499000,2669198,3093198,3788148,4249452,4702965,5071697,5309000,5768174,2869916,6779143,8180000
Chuzhou,3005000,3556400,3280800,3722901,4355544,5201110,5761845,6956502,8504891,9707413,10861431,12144000,13056964,14228257,4329164,18017496,29090000
Fuyang,2168607,2633200,3246100,3783600,4537578,5412700,6077994,7218144,8531905,9624981,10624758,11889663,12674505,14018589,5431259,17595199,27050000
Suzhou2,2199287,2791206,3129800,3590100,4242700,5111031,5406000,6505700,8024267,9149528,10143289,11405288,12358259,13518116,6442018,16302217,19790000
Luan,2090680,2531000,3128200,3563500,4352900,5339470,5840232,6761209,8210200,9182000,10102100,10958100,10164885,11081469,5320556,12880538,16200000
Bozhou,1832512,2246429,2650000,2987300,3355660,4042200,4319284,5127800,6266531,7156572,7910950,8836299,9426090,10461044,4212362,12771945,17490000
Chizhou,755027,924253,1101800,1300900,1580091,1924000,2455896,3008439,3724882,4174466,4622452,5171690,5447404,5890196,3508409,6849253,8320000
Xuancheng,2031763,2356600,2515300,2878800,3326478,4116100,4327700,5257000,6714000,7574700,8428049,9176300,9714569,10578243,3238217,13172047,15610000
Fuzhou,13476759,15484561,14763142,16640515,19745818,22841602,26040448,31234092,37363796,42182887,46784951,51691647,56180844,61976395,43005530,78568123,93920000
Xiamen,7596934,8832098,10065831,11680229,13878520,15600218,17372349,20600737,25393132,28170697,30181565,32735772,34660288,37842662,43517181,47914131,59950000
Putian,2627554,3084822,3599087,4236808,5117039,6099627,6914192,8503257,10506159,12027880,13428623,15020721,16551618,18234281,16647596,22424134,25950000
Sanming,3206821,3758431,3928434,4535752,5456879,6669222,8002444,9751020,12118142,13392862,14775868,16212064,17130478,18608197,4532584,23537162,26020000
Quanzhou,13801105,16029716,16263034,19007599,22837002,27052915,30695003,35649739,42708864,47264953,52180021,57333576,61377139,66466294,17587544,84679768,99470000
Zhangzhou,6033969,7020241,6285310,7169115,8548082,10020167,11780103,14307097,17682006,20177971,22360244,25063612,27673767,31253456,8148209,39476347,47420000
Nanping,2826381,3216960,3480016,3931859,4665770,5591439,6216534,7286525,8943055,9967580,11058215,12325593,13395148,14577378,5263855,17925130,19920000
Longyan,2943962,3492257,3856278,4500075,5534371,6728476,8248814,9908973,12421544,13746498,14798988,16212107,17384535,18956670,10326594,23932951,26790000
Ningde,2698690,3090407,3435992,3839988,4574559,5426716,6122829,7386099,9301166,10777262,12387205,13760938,14873590,16231142,3906094,19427951,24520000
Nanchang,6410248,7704622,10077025,11838973,13898920,16600847,18375008,22001059,26888724,30005236,33360265,36679635,40000140,43549927,36408753,52746716,55960000
Jingdezhen,1406910,1651237,1930985,2247759,2618517,3219756,3640337,4615001,5647106,6282524,6802847,7382137,7720557,8401484,3854290,8465982,9260000
Pingxiang,1428645,1725560,2280989,2654942,3162760,3876366,4214862,5203900,6581538,7330597,7983294,8649524,9123871,9982752,6083233,10090505,9300000
Jiujiang,3067749,3567621,4289161,5062201,5925614,7005984,8313636,10320647,12564149,14201046,16017317,17799599,19026783,20961347,10076908,27001852,31210000
Xinyu,1091000,1340000,1773193,2142709,2807714,4023218,4841748,6312212,7792129,8303232,8450692,9002683,9467964,10361912,7565744,10273443,9720000
Yingtan,797237,963748,1235280,1432082,2202019,2566218,2568020,3448865,4275959,4821747,5534700,6069809,6392614,6953489,2307944,8189787,9410000
Ganzhou,3450595,3980147,5001106,5827320,7019653,8348486,9406290,11197412,13359972,15084851,16733140,18435921,19738688,22071959,7665439,28072372,34740000
Jian,2067244,2428600,3031422,3517803,4060052,5050046,5841087,7205251,8790619,10062610,11239013,12421109,13285198,14613721,2531933,17422292,20850000
Yichun2,2494974,2895167,3722066,4397203,5088563,6150000,7002430,8700005,10779820,12476000,13870708,15229911,16210204,17819520,2850981,21808544,26880000
Fuzhou2,1684110,2041762,2620040,3135607,3679225,4340496,5029103,6300124,7425067,8250400,9406413,10367713,11051377,12109070,3966520,13824038,15110000
Shangrao,2527563,3010663,3881089,4514277,5281238,6283382,7285029,9010029,11105823,12653897,14013134,15502360,16508064,18177664,6203743,22174758,25130000
Jinan,15353756,18427529,21329471,24770656,29300835,34732143,38226645,44568571,50181700,54350862,58836748,64581966,67660620,72388765,72840155,88622100,94430000
Qingdao,17804200,21638000,26958172,32065800,37865156,44361800,48538672,56661900,66156000,73021100,80066000,86921000,93000700,100112900,84991300,120015200,117410000
Zibo,10033800,12309600,14309500,16451600,19450200,23167800,24452800,28667500,32802300,35572100,38012400,40297668,41302400,44120100,36697027,50683500,36420000
Zaozhuang,3832400,5033100,6333500,7599500,9255606,10928300,11960414,13620361,15616815,17029205,18306300,19801306,20310028,21426335,11571249,24023800,16940000
Dongying,6960800,8925300,11661400,14503100,16648004,20526200,20589700,23599400,26763500,30006600,32502000,34304900,34506400,34796000,26365857,41524700,29160000
Yantai,13160000,16308949,20124600,24057504,28799509,34341900,37017900,43584600,49068300,52813800,56138700,60020788,64460800,69256587,32506652,78325800,76530000
Weifang,10300000,12464100,14711800,17208800,20560200,24918100,27072300,30909200,35418400,40124300,44207000,47860000,51705000,51706000,17510000,61567800,56890000
Jining,8826100,11021600,12661900,14560939,17360100,21221600,22381300,25428200,28966900,31893700,35015400,38000607,40131243,43018200,17934002,49305800,43700000
Taian,6040700,7321100,8556600,10181800,12261100,15133000,17156630,20516800,23043100,25470100,27907000,30021852,31583900,33167900,11032000,36515300,26640000
Weihai,8360200,10088100,11697700,13685270,15834545,17803493,17803493,19447000,21109500,23378600,25496900,27903400,30015700,32122000,17730689,36414800,29640000
Rizhao,3116700,3877800,4265000,5058700,6295800,7731401,8646600,10250800,12140800,13525700,15001600,16118700,16708000,18024900,14150500,22021700,19490000
Linyi,8346000,10120000,12117800,14048600,16604600,19582000,20691100,23999900,27704500,30128100,33368100,35698000,37631700,40267500,18035241,47178000,46000000
Dezhou,5566800,6869000,8318300,10033800,11808200,14009100,14760842,16578200,19507100,22305600,24605900,25960800,27509400,29329900,8957000,33803000,30220000
Liaocheng,4541900,5726900,6931391,8413300,10254153,12526700,13783700,16223800,19194200,21467500,23658700,25164000,26636200,28591800,5731900,31521500,22600000
Binzhou,4065000,5194500,6672700,8336700,10302894,12368300,13549931,15515164,18175833,19877262,21557271,22767060,23553298,24701013,8190902,26405200,24570000
