city,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Yichun,10.13612243,14.43235317,13.9374175,22.35008611,15.0862069,17.31567813,19.5,16.12,17.76,8.82,164.19,9.02,8.5,13.65254237,15.54310345,31.47368421,21.35714286
Jiamusi,106.0719977,101.0917472,103.3791781,111.2816794,109.5796911,115.0055635,128.72,120.99,126.11,183.47,149.4,185.17,142.43,133.7058824,97.98723404,166.5536481,225.4291845
Qitaihe,9.94967978,11.88882587,28.84767613,19.98428203,29.04703385,27.47727777,26.13,19.27,15.79,14.49,146.66,26.08,34.73,39.3625,42.70886076,40.93589744,53
Mudanjiang,78.36086216,101.3205104,135.7679309,150.6581646,169.6772042,172.7010004,197.7,200.21,201.15,197.69,146.07,182.2,197.7,159.4517375,196.6705882,195.4325397,213.088
Heihe,9.507346586,11.36898949,36.0137457,41.40296271,41.21400241,47.53881541,49.69,54.64,54.7,56.83,236.86,66.28,0,60.55828221,62.56521739,64.35849057,68.01898734
Suihua,7.917191719,9.591251345,14.19060842,14.2590965,16.47508248,16.26645877,16.2,17.12,17.42,19.08,128.74,18.26,18.04,0,0,22.15458015,21.45785441
Shanghai,282.1027449,307.3824858,325.3936747,340.8667622,351.647738,361.5273464,366.11,365.12,360.22,355.03,211.92,352.12,354.56,354.9537931,353.8948454,354.1696306,358.4649421
Nanjing,583.0662496,842.1230295,941.7623364,1022.312797,1101.68025,1161.033533,1228.06,1254.55,1270.5,1021.06,321.28,1241.41,1243.68,1248.526395,1059.530103,1042.651363,1236.470423
Wuxi,109.2918154,137.0312395,174.8387952,199.4910441,222.1185083,236.0038776,242.06,234.97,231.53,232.64,305.78,239.36,239.84,234.0164609,228.5780933,213.334004,238.5208748
Xuzhou,79.02956001,94.73523477,100.1458971,111.4118516,120.9139699,126.8339564,131.24,123.45,134.9,116.93,271.85,134.05,133.79,135.2785783,124.4023099,125.0708134,129.2917466
Changzhou,153.2522673,211.6571625,238.5461991,265.6976908,286.6808439,293.3182806,348.7,288.96,288.4,241.87,331.43,294.63,277.72,330.1733333,270.9129288,274.9136126,337.5714286
Suzhou,136.2556475,158.5705936,179.7912104,208.0801195,244.1570712,264.9114728,296.35,278.74,277.96,296.71,247.39,316.9,321.06,323.4085546,303.5238784,309.5880682,344.428769
Nantong,56.17268074,66.47669264,73.58534624,84.91146936,95.44724786,109.1761379,117.21,108.33,97.44,98.54,246.37,105.39,108.53,123.6505867,118.3089005,124.9095675,147.2526316
Lianyungang,51.82865571,53.51848297,58.33156847,58.60414668,63.69367314,56.6656426,59.5,69.39,67.03,66.29,294.34,72.36,72.97,72.37265918,74.77485929,77.92134831,88.02621723
Huaian,71.64371442,72.42682136,88.46277735,102.8586981,120.5992509,129.8225028,148.77,127.71,124.14,122.74,309.4,120.11,120.49,122.6285211,124.942959,128.0463458,134.925
Yancheng,29.52003114,34.82863156,40.77904516,47.21832167,57.06417713,68.93471806,68.53,69.49,67.38,66.43,236.95,67.71,69.18,83.7990373,75.49273608,77.64,82.14250914
Yangzhou,104.5523688,116.581919,135.2413929,152.2893773,165.7463255,170.7757889,165.71,168.89,169.07,182.91,367.96,175.59,176.85,174.1341991,164.3891304,172.0196078,190.2932166
Zhenjiang,163.6288783,190.4045507,239.6734053,271.2638119,294.8582484,310.5740968,321.02,319.58,323.74,303.41,260.91,309.45,314.13,321.6213235,296.5682657,309.3726937,370.8703704
Taizhou,20.59127189,27.177437,39.88845732,50.86973789,68.86558818,79.45057797,86.95,93.16,93.75,95.79,210,96.95,110.69,116.5374016,122.2732673,126.0695825,131.3233533
Suqian,21.48049337,18.07633295,4.32188203,3.741477326,28.95226986,29.46425231,37.28,29.24,31.67,30.57,322.18,30.31,31.11,33.53378378,35.50592217,35.26734349,22.47972973
Hangzhou,419.7361461,449.5243064,497.4244833,525.2450061,544.5973079,560.5587037,576.67,630.97,642.11,655.5,326.78,663.17,657.26,581.4918478,564.6803714,558.0943152,561.8654088
Ningbo,145.8976087,174.4648899,198.5773307,216.3672049,223.3491569,229.6115052,236.59,245.29,250.56,251.62,302.11,258.48,265.56,262.5109983,261.4907873,248.4311774,257.3273026
Wenzhou,53.71019022,60.7486029,66.57114677,75.0991434,83.75557503,92.19031335,95.29,94.74,93.97,95.66,242.49,100.28,103.29,105.4718826,107.4909091,107.1290712,125.3581731
Jiaxing,56.09382508,52.89872432,63.70352646,76.11384294,89.58463229,108.947851,114.64,153.25,165.63,176.35,359.29,188.74,150.83,185.9119318,194.25,196.4194444,198.8049451
Huzhou,46.93122517,55.47607014,63.69283329,72.87991004,81.83087665,90.78529981,94.18,95.27,97.03,100.05,327.11,102.35,122.1,100.6339623,99.18421053,100.9026217,107.5895522
Shaoxing,44.58786649,57.58649245,70.56471075,88.01836969,101.0980194,114.9910767,120.84,122.73,128.3,135.57,385.41,181.26,189.19,202.8696629,218.2623318,222.0805369,232.6607143
Jinhua,97.09275188,91.69360195,103.831502,113.5529772,132.783815,151.2494311,162.67,164.43,165.02,167.54,349.7,182.49,73.16,71.86278586,155.0987654,158.4458078,165.3211382
Quzhou,29.24478209,33.31704735,39.22710429,37.22231231,38.83506902,41.03275065,40.77,40.65,43.23,46.23,276.99,53.58,53.36,52.61867704,62.10077519,55.86434109,63.60077519
Zhoushan,63.28253707,105.7991951,139.3673111,179.2400083,215.2135691,234.5251628,231.36,230.72,236.46,236.51,220.18,232.82,241.04,252.7938144,227.4123711,237.443299,253.4536082
Taizhou2,21.29530772,27.64966182,32.27471644,37.33042893,42.68954495,47.4758736,50.42,51.02,52.72,52.68,294.51,54.6,56.18,57.00833333,57.49668874,58.20826446,61.53047776
Lishui,48.13953488,62.29553977,75.94971956,87.22924009,130.6075042,139.8895979,133.66,137.05,145.62,145.14,258.61,149.42,141.2,137.0298507,78.23791822,77.80740741,77.31365314
Hefei,178.7229366,242.2226921,280.6747656,312.3494531,328.845845,365.1542611,378.615,397.295,579.93,587.2,410.66,697.67,734.41,684.2671233,676.9084791,655.8456464,696.4181818
Wuhu,291.823787,368.2801924,396.3681241,482.5743352,487.7202118,515.6202608,539.75,585.79,365.05,384.36,181.18,329,338.32,425.5515464,429.6340206,343.6298201,359.9
Bengbu,78.82468907,103.6516125,106.5754444,119.4030698,122.6109719,121.9893388,144.32,148.79,141.57,159.63,330.97,164.38,163.72,161.2947368,159.808399,160.453125,170.0803109
Huainan,154.0219033,173.9104375,189.5495801,206.9903321,217.6551667,233.44819,246.28,257.6,263.52,274.06,328.8,325.39,316.12,205.4807198,160.6230769,153.2692308,166.0613811
Maanshan,135.1357885,176.8228957,171.3785419,203.7291617,233.8281495,325.0273224,310.47,328.46,201.26,218.32,378.22,238.56,245.89,234.558952,234.2139738,245.0873362,269.7816594
Huaibei,76.14494459,93.22317207,110.3885617,110.3063148,126.7000515,135.0264158,136.33,137.51,141.73,147.26,238.44,161.17,177.99,183.4101382,182.2073733,177.6009174,201.1780822
Tongling,122.3240728,159.2768393,214.0958183,274.7640542,314.2566191,329.9093247,333.57,350.34,382.72,409,214.47,460.7,483.17,211.9239766,210.9590643,199.1929825,200.6666667
Anqing,18.01387971,20.21350546,25.96977954,29.02334304,37.79439925,44.80281484,45.72,59.13,61.4,65.51,422.61,67.32,66.7,75.80907372,70.57438795,70.85795455,80.50661626
Huangshan,41.49479273,53.46088145,71.00857493,79.75060992,89.71482633,91.32457027,95.05,102.01,110.39,117.34,301.42,142.18,150.15,152.3986486,155.1283784,151.8791946,151.704698
Chuzhou,51.82704301,48.59746251,66.21826362,73.74713062,69.47472745,76.10926079,83.11,87.93,92.51,103.92,320.52,103.43,109.38,113.2092511,117.8480176,117.660793,122.5032967
Fuyang,14.61121557,19.49929248,18.66074875,18.63274007,18.97997516,22.11806153,29.56,26.6,27.99,34.9,250.06,33.1,34.71,34.78625235,34.93457944,34.38188609,39.6545961
Suzhou2,23.74178654,25.06170781,26.9221862,31.65885169,32.69763598,39.75337827,31.48,34.16,49.96,51.53,165.75,30.98,34.8,36.33639144,43.1097561,38.20700152,45.29787234
Luan,22.35698282,27.86829398,25.8825257,31.39953111,35.80250464,38.5981415,43.5,48.61,56.31,55.4,316.72,57.18,60.07,69.51788756,66.2670068,61.62988115,73.7715736
Bozhou,5.122118576,6.263859109,7.270876504,8.154544645,10.52604185,12.24756696,14.76,16.18,17.83,17.97,238.9,18.76,18.98,17.34003091,17.2764977,19.84018265,28.0346908
Chizhou,42.55374088,48.93822394,47.85362421,50.34693488,48.89254525,78.99075064,119.87,153.59,169.15,184.04,423.8,130.76,141.57,149.2469136,158.2037037,161.2037037,185.117284
Xuancheng,5.821780737,4.732254047,6.258224887,9.000401152,10.96293605,12.64679313,14.74,17.94,21.61,30.34,153.7,20.37,23.76,24.29285714,25.87857143,25.73476703,26.35842294
Fuzhou,214.829878,243.2219104,315.6531074,347.3222745,369.8762494,393.5545247,416.48,436.1,450.68,466.02,413.89,475.33,473.15,462.1208151,452.8961039,455.1109531,479.3380282
Xiamen,337.2883747,416.2294747,421.5441848,498.7342561,631.0990194,627.1607071,742.66,712.89,732.6,754.13,429.87,778.27,681.94,646.8235294,607.2121212,668.5555556,600.1609195
Putian,23.36337132,30.56506849,44.84432925,49.48040525,55.33745891,43.59209197,51.73,51.53,51.32,52.84,332.34,60.38,61.88,60.01428571,70.92957746,70.65,68.8489011
Sanming,19.71531047,33.16414123,49.96829896,52.33770101,57.63636364,58.07144179,57.44,63.4,84.55,82.92,179.07,85.56,86.77,85.8815331,87.72916667,94.49480969,114.0795848
Quanzhou,65.70885274,82.38185426,106.1633167,118.9349642,131.5190793,145.9637319,156.59,165.96,171.31,169.65,335.37,170.62,171.75,172.6013699,169.9797844,172.5774834,202.8370565
Zhangzhou,24.3385544,52.24754843,72.42495135,84.58422268,97.10645649,110.5570971,120.32,125.94,125.71,129.44,272.02,139.73,142.44,140.6476378,139.4708171,143.4222649,173.9348659
Nanping,35.43206227,22.7981998,43.07535975,36.95417172,40.24091666,48.82679389,65.93,68.73,73.2,73.54,178.05,74.25,76.52,78.62305296,80.76802508,83.70625,96.99685535
Longyan,25.2859933,33.33333333,40.05159851,43.87173066,46.02005533,46.35084106,45.8,44.85,48.95,52.27,188.57,55.68,57.68,57.46496815,54.78797468,57.94984326,67.84591195
Ningde,8.873269697,10.24973985,10.72072899,12.27369704,13.19150224,19.51168552,22.35,23.8,24.73,25.65,235.41,28.11,29.53,29.69318182,31.92592593,32.45762712,38.84550562
Nanchang,409.1177319,629.05445,830.6858598,1044.704108,979.2330708,905.2776262,974.99,976.09,968.22,1002.64,194.1,1070.89,1128.73,1169.826004,1161.525714,1147.789474,1176.277985
Jingdezhen,73.37828726,95.92216245,126.4288556,154.9928395,247.2339608,162.5102699,165.95,166.91,152.94,143.28,232.6,156.14,175.85,190.591716,190.9822485,107.1941176,198.4853801
Pingxiang,39.62529538,25.08184895,33.98452719,39.56696159,46.06552938,49.64741347,50.25,47.7,39.25,58.49,326.94,57.01,56.97,58.16,137.095,140.735,160.395
Jiujiang,92.32742132,120.7757842,168.3311883,178.1031163,172.4675758,159.766439,166.18,164.76,169.24,153.55,268.26,162.15,171.87,177.75,178.175,177.2638623,187.1657143
Xinyu,40.7133059,54.86677542,71.26986994,97.17107019,99.74527888,177.1103896,95.56,110.36,233.85,247.74,202.14,265.74,311.72,320.7016129,310.2295082,284.432,317.192
Yingtan,18.82331545,24.14411185,27.24246514,24.25852147,37.94604003,37.49031091,35.82,34.74,39.29,41.52,274.12,47.28,63.51,67.2421875,71.4375,71.37209302,77.72093023
Ganzhou,43.20620789,50.60722521,65.8574655,73.59461186,84.64836267,83.50525901,85.9,86.32,90.73,92.24,162.84,91.6,95.25,141.2729145,97.84599589,99.31192661,107.1698881
Jian,22.10933616,25.98521376,32.8987004,35.3134753,39.38130576,39.58784132,38.12,36.68,36.63,34.84,185.8,36.07,35.34,65.10841121,63.20149254,75.92022263,78.50185185
Yichun2,22.5630421,28.34332477,34.64604199,45.08846744,45.29855868,49.02108572,55.97,60.39,61.49,61.96,229.05,75.05,74.6,71.76079734,70.31561462,79.11900826,91.35264901
Fuzhou2,37.81606445,39.93188478,40.65720805,82.87560582,83.62243573,88.76050962,99.85,113.71,115.83,58.63,185.65,67.13,75.43,72.40648379,68.26450116,74.88194444,41.12471132
Shangrao,14.88940947,16.45435244,20.30029586,23.49244048,25.22580095,27.02729113,27.69,27.52,27.54,28.49,225.4,31.56,33.79,36.85421995,40.16730524,41.1913815,48.67213115
Jinan,431.7408414,622.3567619,680.8594941,762.8870793,791.9172829,845.808617,571.88,572.55,556.81,564.545,348.74,593.12,609.055,967.6023622,718.297542,736.8101911,678.9171895
Qingdao,233.7223178,275.9314476,323.6034066,347.4058555,349.4993338,353.6346447,353.26,372.93,380.31,385.45,336.01,401.61,411.52,430.9418458,431.1805729,486.5305623,500.3898917
Zibo,96.74928596,114.4220343,142.9157569,193.6000765,199.6949403,247.4252294,240.64,244.55,231.42,219.68,366.2,224.07,239.75,248.0347222,245.3833718,248.4930876,265.5829493
Zaozhuang,35.33923466,25.34991372,27.44302557,30.99981181,34.01983219,46.7644296,53.06,54.75,55.66,54.27,314.59,63.54,74.32,82.38256659,85.96411483,91.88179669,94.86084906
Dongying,137.4865675,185.7518313,420.2049861,245.3635464,255.0603528,272.7944774,279.31,285.58,275.34,143.13,386.38,143.84,157.48,169.0362694,168.1128205,158.2588832,169.7676768
Yantai,123.0621535,159.7554188,198.5133842,161.2003446,179.0151504,186.4521475,207.87,224.83,224.72,240.61,356.28,265.07,279.56,298.4549618,279.2737003,358.8899083,354.0413476
Weifang,51.86443477,74.57238582,95.00938747,109.7639397,122.5332604,130.0517113,138.58,138.53,136.5,136.63,400.49,158.28,222.43,190.1032186,198.1332599,202.1017505,223.4433551
Jining,51.33873249,55.32219868,64.57593884,75.62420704,81.64664475,88.84351261,92.17,96.35,95.26,100.52,235.16,111.03,119.85,126.3139269,127.3703284,128.9876543,130.4988814
Taian,124.0062083,113.6066915,127.4211119,146.6757296,148.7079262,164.0467263,167.48,171.31,175.47,180.64,276.32,187.09,193.17,229.9789104,214.7215412,217.6945899,232.6143106
Weihai,70.23785486,92.78553887,117.2588221,169.0709683,180.9009798,197.042382,241.26,236.07,234.38,238.91,273.19,252.35,277.44,333.8554688,305.1132813,345.4902724,385.3696498
Rizhao,89.77305372,114.3183115,211.2704554,46.35269122,59.55607312,65.82202854,91.99,67.7,70.79,75.81,289.69,87.1,99.81,97.15,77.49671053,73.33550489,96.00974026
Linyi,24.11947975,31.4913698,43.28460776,44.37534833,43.13381995,45.53442826,53.98,52.96,54.71,56.55,245.73,58.57,61.92,66.38737949,72.97418244,75.62457627,84.65630252
Dezhou,25.57598623,39.19351902,52.10900603,63.22308864,67.80315844,71.85345362,70.66,69.6,0,68.39,146.38,73.9,87.27,98.50421585,106.9815126,106.3645485,117.3138564
Liaocheng,44.36284944,51.45026039,68.1738367,70.64522887,65.87516143,64.87322836,64.05,63.77,66.16,77.47,177.97,68.62,70.18,71.75039494,72.6390625,73.57209302,75.99536321
Binzhou,51.85852793,69.76687449,91.48282828,104.4538536,113.5013886,122.2689523,127.45,127.12,122.24,120.87,351.64,127.75,133.07,136.6505102,137.213198,135.7178841,141.4849246
Heze,10.07353025,16.90265587,20.97242134,23.88311975,26.21198862,32.95649716,31.98,33.77,33.04,33.42,241.62,36.85,48.72,49.86896552,47.75858685,46.55804878,50.25243665
Zhengzhou,388.0027834,483.6593906,578.0932764,642.4727451,701.1484986,792.6529648,844.05,674.36,658.45,650.99,185.52,835.15,1016.86,1075.367594,1110.845606,1149.859954,1222.987528
Kaifeng,76.30585274,91.63812252,104.1708532,118.3901352,126.994047,134.701435,135.2,137.37,149.9,149.91,303.09,216.87,161.28,163.1323792,170.7567084,178.2375,185.4616756
Luoyang,75.50055574,86.36658632,103.7467285,104.3709267,106.4492271,111.8805535,116.26,116.86,140.8,167.57,328.83,178.4,179.52,182.9402985,160.2876526,170.6081081,179.6671141
Pingdingshan,37.9117172,54.31194887,69.01752629,78.90300345,89.77743371,100.5573157,108.82,114.51,112.8,112.68,248.89,101.42,98.11,101.959507,141.2433862,126.9649123,130.0157895
Anyang,33.19390779,42.15341309,49.40239044,56.7473361,60.85193785,63.88952535,70.68,82.36,87.51,95.9,198.88,109.91,118,125.0926518,134.536859,144.476874,156.6279809
